product_id,product_name,brand,category,subcategory,model_number,description,price,currency,voltage,power,frequency,rpm,weight,dimensions,material,ip_rating,warranty,manufacturer,country,supplier,source,technical_document,product_url
PID-10271,Pepperl+Fuchs Gas Detection Monitor PEP-SFT-6045,Pepperl+Fuchs,Safety Equipment,,PEP-SFT-6045,"*** PEPPERL+FUCHS SPECIAL PROMO *** Model PEP-SFT-6045. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",2698.29,USD,24 V DC,0.02 kW,50/60 Hz,N/A,33.8 g,953x770x395mm,Flameproof Aluminum,IP65,2 Years,Pepperl+Fuchs,Sweden,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/pepperl+fuchs/pep-sft-6045.pdf,https://www.industrial-supply-direct.com/item/pep-sft-6045
PID-10272,Sulzer Multistage High-Pressure Pump SUL-PMP-4482,Sulzer,Pumps,Multistage High-Pressure Pump,SUL-PMP-4482,"Compact and durable Multistage High-Pressure Pump with 7.5 kW rating, rated for 400 V networks.",1495.56,USD,400 V,7.5 kW,50 Hz,2900 RPM,,580 x 589 x 596 mm,Duplex Steel,IP66,12 Months,Sulzer,Japan,Apex Industrial Supplies,Distributor Catalog EU,https://docs.productiq-assets.com/specs/sulzer/sul-pmp-4482.pdf,https://www.industrial-supply-direct.com/item/sul-pmp-4482
PID-10273,KSB Multistage High-Pressure Pump KSB-PMP-1118,KSB,Pumps,Multistage High-Pressure Pump,KSB-PMP-1118,"*** KSB SPECIAL PROMO *** Model KSB-PMP-1118. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",12522.57,$,380 V 3-Phase,15 kW,60 Hz,1450 RPM,300.1 lbs,,Bronze,ip68,,KSB,France,Precision Parts Direct,Field Engineering Audit,,https://www.industrial-supply-direct.com/item/ksb-pmp-1118
PID-10274,Euchner Emergency Stop Rope Pull EUC-SFT-7036,Euchner,Safety Equipment,Emergency Stop Rope Pull,EUC-SFT-7036,"*** EUCHNER SPECIAL PROMO *** Model EUC-SFT-7036. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",12399.17,€,Battery / 3.6V,0.02 kW,DC,N/A,181.6 LBS,813 x 538 x 587 mm,Anodized Aluminum,IP65,5 Years,Euchner,Japan,Continental Drive Systems,Supplier Price File 2024,https://docs.productiq-assets.com/specs/euchner/euc-sft-7036.pdf,https://www.industrial-supply-direct.com/item/euc-sft-7036
PID-10275,Huawei Digital Power Automatic Transfer Switch HUA-PWR-1520,Huawei Digital Power,Power Equipment,Automatic Transfer Switch,HUA-PWR-1520,"Huawei Digital Power Automatic Transfer Switch HUA-PWR-1520 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",19140.97,EUR,230 V Single Phase,500 kW,60 Hz,N/A,315.7 kg,15.9x26.4x43.4 cm,Galvanized Steel Weatherproof,IP20,2 Years,Huawei Digital Power,Japan,Precision Parts Direct,Field Engineering Audit,https://docs.productiq-assets.com/specs/huawei_digital_power/hua-pwr-1520.pdf,https://www.industrial-supply-direct.com/item/hua-pwr-1520
PID-10276,Flowserve High-Pressure Gate Valve FLO-VLV-2481,Flowserve,Valves,High-Pressure Gate Valve,FLO-VLV-2481,Heavy-duty industrial grade High-Pressure Gate Valve engineered by Flowserve. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,5437.33,$,,N/A,N/A,,41.7 kg,48.5x21.8x68.6 cm,Hastelloy C,IP66,1 Year Standard,Flowserve,Germany,TechFlow Solutions,Vendor Portal Upload,https://docs.productiq-assets.com/specs/flowserve/flo-vlv-2481.pdf,https://www.industrial-supply-direct.com/item/flo-vlv-2481
PID-10277,Mitsubishi Electric Variable Frequency Drive (VFD) MIT-CTL-6980,Mitsubishi Electric,Control Systems,Variable Frequency Drive (VFD),MIT-CTL-6980,"Compact and durable Variable Frequency Drive (VFD) with 22 kW rating, rated for 230 V AC networks.",12514.85,EUR,230 V AC,22 kW,50 Hz,N/A,206.5 LBS,170 x 713 x 427 mm,Industrial Thermoplastic,,24 months,Mitsubishi Electric,Finland,Nordic Machinery Hub,Field Engineering Audit,https://docs.productiq-assets.com/specs/mitsubishi_electric/mit-ctl-6980.pdf,https://www.industrial-supply-direct.com/item/mit-ctl-6980
PID-10278,Siemens SIMATIC Variable Frequency Drive (VFD) SIE-CTL-3501,Siemens SIMATIC,Control Systems,Variable Frequency Drive (VFD),SIE-CTL-3501,"*** SIEMENS SIMATIC SPECIAL PROMO *** Model SIE-CTL-3501. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",20366.59,,230 V AC,22 kW,50/60 Hz,N/A,178.0 lbs,,Industrial Thermoplastic,IP65 Bezel,5 Years,Siemens SIMATIC,Japan,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/siemens_simatic/sie-ctl-3501.pdf,https://www.industrial-supply-direct.com/item/sie-ctl-3501
PID-10279,KSB Positive Displacement Pump KSB-PMP-1886,KSB,Pumps,Positive Displacement Pump,KSB-PMP-1886,<div><p>Industrial Pumps - KSB-PMP-1886</p><span>Manufacturer: KSB</span><br>Standard spec with warranty: 5 Years</div>,7356.93,EUR,24 V DC,15 HP,50/60 Hz,2900 RPM,6.6 g,"12.1"" x 31.3"" x 9.9""",Cast Iron GG25,IP 68,5 Years,KSB,Germany,Apex Industrial Supplies,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/ksb/ksb-pmp-1886.pdf,https://www.industrial-supply-direct.com/item/ksb-pmp-1886
PID-10280,ABB DC Traction Motor ABB-MTR-6545,ABB,Industrial Motors,DC Traction Motor,ABB-MTR-6545,Heavy-duty industrial grade DC Traction Motor engineered by ABB. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,23276.02,EUR,230/400V,45 kW,50/60 Hz,1500 rpm,446.0 g,"41.3"" x 30.1"" x 19.3""",Cast Iron,IP55,24 months,ABB,United States,Apex Industrial Supplies,Distributor Catalog EU,https://docs.productiq-assets.com/specs/abb/abb-mtr-6545.pdf,https://www.industrial-supply-direct.com/item/abb-mtr-6545
PID-10281,Sick Safety Light Curtain SIC-SFT-8856,Sick,Safety Equipment,Safety Light Curtain,SIC-SFT-8856,REDUNDANT RECORD: Sick SIC-SFT-8856 Safety Equipment Safety Light Curtain. Contact supplier Continental Drive Systems for spec sheet.,19081.73,USD,24 V DC,15 W,DC,N/A,85.2 kilograms,L:906 W:669 H:649,Flameproof Aluminum,IP66,1 Year Standard,Sick,China,Continental Drive Systems,Distributor Catalog EU,https://docs.productiq-assets.com/specs/sick/sic-sft-8856.pdf,https://www.industrial-supply-direct.com/item/sic-sft-8856
PID-10282,KSB Centrifugal Pump KSB-PMP-3960,KSB,Pumps,Centrifugal Pump,KSB-PMP-3960,<div><p>Industrial Pumps - KSB-PMP-3960</p><span>Manufacturer: KSB</span><br>Standard spec with warranty: 2 Years</div>,16711.09,USD,380 V 3-Phase,15 HP,50 Hz,3500 rpm,40.4 kg,844 x 657 x 275 mm,Bronze,ip68,2 Years,KSB,Germany,Continental Drive Systems,ERP Master Data,https://docs.productiq-assets.com/specs/ksb/ksb-pmp-3960.pdf,https://www.industrial-supply-direct.com/item/ksb-pmp-3960
PID-10283,Vertiv Liebert Solar Inverter Grid-Tied VER-PWR-9563,Vertiv Liebert,Power Equipment,Solar Inverter Grid-Tied,VER-PWR-9563,"*** VERTIV LIEBERT SPECIAL PROMO *** Model VER-PWR-9563. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",12956.28,USD,400/230V 50Hz,1000 kVA,50 Hz,N/A,249.6 LBS,,Marine Grade Aluminum,IP23,24 months,Vertiv Liebert,France,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/vertiv_liebert/ver-pwr-9563.pdf,https://www.industrial-supply-direct.com/item/ver-pwr-9563
PID-10284,Koyo Cylindrical Roller Bearing KOY-BRG-3346,Koyo,Bearings,Cylindrical Roller Bearing,KOY-BRG-3346,Heavy-duty industrial grade Cylindrical Roller Bearing engineered by Koyo. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,15141.12,€,N/A,N/A,N/A,6000 RPM,172.1 LBS,L:653 W:227 H:644,Ceramic Hybrid,ZZ Shielded,1 Year Standard,Koyo,Italy,Precision Parts Direct,Distributor Catalog EU,https://docs.productiq-assets.com/specs/koyo/koy-brg-3346.pdf,https://www.industrial-supply-direct.com/item/koy-brg-3346
PID-10285,NSK Spherical Roller Bearing NSK-BRG-5483,NSK,Bearings,Spherical Roller Bearing,NSK-BRG-5483,REDUNDANT RECORD: NSK NSK-BRG-5483 Bearings Spherical Roller Bearing. Contact supplier Continental Drive Systems for spec sheet.,9104.69,EUR,N/A,N/A,N/A,8500 rpm,258.5 kg.,"11.9"" x 5.9"" x 10.8""",High Carbon Chrome Steel 100Cr6,N/A,2 Years,NSK,China,Continental Drive Systems,ERP Master Data,https://docs.productiq-assets.com/specs/nsk/nsk-brg-5483.pdf,https://www.industrial-supply-direct.com/item/nsk-brg-5483
PID-10286,Cummins Solar Inverter Grid-Tied CUM-PWR-1155,Cummins,Power Equipment,Solar Inverter Grid-Tied,CUM-PWR-1155,"Compact and durable Solar Inverter Grid-Tied with 1200 kW rating, rated for 400/230V 50Hz networks.",17141.72,EUR,400/230V 50Hz,1200 kW,50/60 Hz,1500 RPM,274.9 g,99.8x46.2x57.9 cm,Acoustic Heavy Steel,IP54 Outdoor,1 Year Standard,Cummins,Switzerland,TechFlow Solutions,Vendor Portal Upload,https://docs.productiq-assets.com/specs/cummins/cum-pwr-1155.pdf,https://www.industrial-supply-direct.com/item/cum-pwr-1155
PID-10287,Schneider Electric Programmable Logic Controller (PLC) SCH-CTL-2302,Schneider Electric,Control Systems,,SCH-CTL-2302,"Schneider Electric Programmable Logic Controller (PLC) SCH-CTL-2302 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",22681.49,EUR,230 V AC,0.75 kW,50/60 Hz,N/A,63.6 lbs,,Metal Alloy,IP20,2 Years,Schneider Electric,Germany,Precision Parts Direct,Field Engineering Audit,https://docs.productiq-assets.com/specs/schneider_electric/sch-ctl-2302.pdf,https://www.industrial-supply-direct.com/item/sch-ctl-2302
PID-10288,Honeywell RTD Temp Sensor HON-SNS-1693,Honeywell,Sensors,RTD Temp Sensor,HON-SNS-1693,"*** HONEYWELL SPECIAL PROMO *** Model HON-SNS-1693. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",23154.54,USD,LOOP POWERED,1.5 W,N/A,N/A,153.7 g,34.1x39.7x40.6 cm,316L SS,IP68,2 Years,Honeywell,Finland,Nordic Machinery Hub,Distributor Catalog EU,https://docs.productiq-assets.com/specs/honeywell/hon-sns-1693.pdf,https://www.industrial-supply-direct.com/item/hon-sns-1693
PID-10289,Pilz Gas Detection Monitor PIL-SFT-8999,Pilz,Safety Equipment,Gas Detection Monitor,PIL-SFT-8999,<div><p>Industrial Safety Equipment - PIL-SFT-8999</p><span>Manufacturer: Pilz</span><br>Standard spec with warranty: 2 Years</div>,CONTACT SALES,USD,110-230 VAC,5 W,50/60 Hz,N/A,232.7 KG,109.8x10.7x25.9 cm,Reinforced Polymer,IP65,2 Years,Pilz,France,TechFlow Solutions,Supplier Price File 2024,https://docs.productiq-assets.com/specs/pilz/pil-sft-8999.pdf,https://www.industrial-supply-direct.com/item/pil-sft-8999
PID-10290,Euchner Safety Light Curtain EUC-SFT-8185,Euchner,Safety Equipment,Safety Light Curtain,EUC-SFT-8185,"Euchner Safety Light Curtain EUC-SFT-8185 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",3430.1,EUR,24VDC,,50/60 Hz,N/A,300.6 lbs,"25.4"" x 8.7"" x 20.9""",Flameproof Aluminum,IP65,,Euchner,Sweden,TechFlow Solutions,Field Engineering Audit,https://docs.productiq-assets.com/specs/euchner/euc-sft-8185.pdf,https://www.industrial-supply-direct.com/item/euc-sft-8185
PID-10291,Rockwell Allen-Bradley Programmable Logic Controller (PLC) ROC-CTL-2767,Rockwell Allen-Bradley,Control Systems,Programmable Logic Controller (PLC),ROC-CTL-2767,"Rockwell Allen-Bradley Programmable Logic Controller (PLC) ROC-CTL-2767 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",3101.25,€,24 V DC,22 kW,0-400 Hz Output,N/A,39.5 lbs,412 x 623 x 291 mm,Polycarbonate / Aluminum,IP65 Bezel,,Rockwell Allen-Bradley,Switzerland,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/rockwell_allen-bradley/roc-ctl-2767.pdf,https://www.industrial-supply-direct.com/item/roc-ctl-2767
PID-10292,Xylem Multistage High-Pressure Pump XYL-PMP-3968,Xylem,Pumps,Multistage High-Pressure Pump,XYL-PMP-3968,Heavy-duty industrial grade Multistage High-Pressure Pump engineered by Xylem. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,CONTACT SALES,€,380 V 3-Phase,7.5 kW,50 Hz,2900 RPM,184.8 kg.,573 x 327 x 444 mm,Cast Iron GG25,IP68,36 Months Extended,Xylem,Germany,TechFlow Solutions,Supplier Price File 2024,https://docs.productiq-assets.com/specs/xylem/xyl-pmp-3968.pdf,https://www.industrial-supply-direct.com/item/xyl-pmp-3968
PID-10293,Gardner Denver Oil-Free Scroll Compressor GAR-CMP-5046,Gardner Denver,Compressors,Oil-Free Scroll Compressor,GAR-CMP-5046,REDUNDANT RECORD: Gardner Denver GAR-CMP-5046 Compressors Oil-Free Scroll Compressor. Contact supplier Precision Parts Direct for spec sheet.,4431.59,€,400 V,50 HP,50 Hz,2950 RPM,165.2 kg.,127x799x665mm,Acoustic Enclosure,IP65,24 months,Gardner Denver,Italy,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/gardner_denver/gar-cmp-5046.pdf,https://www.industrial-supply-direct.com/item/gar-cmp-5046
PID-10294,NSK Pillow Block Bearing NSK-BRG-7292,NSK,Bearings,Pillow Block Bearing,NSK-BRG-7292,"NSK Pillow Block Bearing NSK-BRG-7292 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",3205.56,GBP,N/A,N/A,N/A,4500 max RPM,92.9 g,36.1x29.6x52.8 cm,High Carbon Chrome Steel 100Cr6,2RS Sealed,,NSK,Italy,TechFlow Solutions,Vendor Portal Upload,https://docs.productiq-assets.com/specs/nsk/nsk-brg-7292.pdf,https://www.industrial-supply-direct.com/item/nsk-brg-7292
PID-10295,Siemens SIMATIC Human Machine Interface (HMI) SIE-CTL-7864,Siemens SIMATIC,Control Systems,Human Machine Interface (HMI),SIE-CTL-7864,<div><p>Industrial Control Systems - SIE-CTL-7864</p><span>Manufacturer: Siemens SIMATIC</span><br>Standard spec with warranty: </div>,18999.02,EUR,24vdc,30 W,50/60 Hz,N/A,240.8 LBS,L:438 W:548 H:868,Industrial Thermoplastic,,,Siemens SIMATIC,France,Continental Drive Systems,Supplier Price File 2024,https://docs.productiq-assets.com/specs/siemens_simatic/sie-ctl-7864.pdf,invalid-url-item
PID-10296,Cummins Automatic Transfer Switch CUM-PWR-1145,Cummins,Power Equipment,Automatic Transfer Switch,CUM-PWR-1145,Heavy-duty industrial grade Automatic Transfer Switch engineered by Cummins. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,10976.87,$,400/230V 50Hz,1500 kVA,50/60 Hz,N/A,20.0 KG,668 x 236 x 376 mm,Acoustic Heavy Steel,IP65 Enclosure,5 Years,Cummins,Switzerland,Continental Drive Systems,OEM Technical Data Sheet,,https://www.industrial-supply-direct.com/item/cum-pwr-1145
PID-10297,Schneider Galaxy Solar Inverter Grid-Tied SCH-PWR-2363,Schneider Galaxy,Power Equipment,Solar Inverter Grid-Tied,SCH-PWR-2363,<div><p>Industrial Power Equipment - SCH-PWR-2363</p><span>Manufacturer: Schneider Galaxy</span><br>Standard spec with warranty: 36 Months Extended</div>,6399.47,$,400/230V 50Hz,,50 Hz,1800 rpm,437.3 LBS,L:317 W:491 H:769,Acoustic Heavy Steel,IP65 Enclosure,36 Months Extended,Schneider Galaxy,United Kingdom,Global Electro Corp,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/schneider_galaxy/sch-pwr-2363.pdf,https://www.industrial-supply-direct.com/item/sch-pwr-2363
PID-10298,Rockwell Allen-Bradley Human Machine Interface (HMI) ROC-CTL-4796,Rockwell Allen-Bradley,Control Systems,Human Machine Interface (HMI),ROC-CTL-4796,"Compact and durable Human Machine Interface (HMI) with 150 W rating, rated for 24VDC / 120VAC networks.",8901.03,$,24VDC / 120VAC,150 W,0-400 Hz Output,N/A,11.9 KG,,Polycarbonate / Aluminum,ip20,12 Months,Rockwell Allen-Bradley,Switzerland,Nordic Machinery Hub,Supplier Price File 2024,https://docs.productiq-assets.com/specs/rockwell_allen-bradley/roc-ctl-4796.pdf,https://www.industrial-supply-direct.com/item/roc-ctl-4796
PID-10299,Sick Safety Light Curtain SIC-SFT-2633,Sick,Safety Equipment,Safety Light Curtain,SIC-SFT-2633,"Sick Safety Light Curtain SIC-SFT-2633 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",580.42,,Battery / 3.6V,0.02 kW,DC,N/A,356.8 LBS,L:793 W:187 H:307,Anodized Aluminum,IP69K,1 Year Standard,Sick,Japan,TechFlow Solutions,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/sick/sic-sft-2633.pdf,invalid-url-item
PID-10300,Koyo Pillow Block Bearing KOY-BRG-3016,Koyo,Bearings,Pillow Block Bearing,KOY-BRG-3016,REDUNDANT RECORD: Koyo KOY-BRG-3016 Bearings Pillow Block Bearing. Contact supplier Apex Industrial Supplies for spec sheet.,2543.83,EUR,N/A,N/A,N/A,4500 max RPM,174.7 g,330x603x273mm,High Carbon Chrome Steel 100Cr6,,12 Months,Koyo,Italy,Apex Industrial Supplies,ERP Master Data,https://docs.productiq-assets.com/specs/koyo/koy-brg-3016.pdf,https://www.industrial-supply-direct.com/item/koy-brg-3016
PID-10301,Grundfos Multistage High-Pressure Pump GRU-PMP-3475,Grundfos,Pumps,Multistage High-Pressure Pump,GRU-PMP-3475,"Compact and durable Multistage High-Pressure Pump with 7.5 kW rating, rated for 400v networks.",12771.44,€,400v,7.5 kW,50/60 Hz,2900 RPM,298.6 kg.,256x102x252mm,Cast Iron GG25,ip68,24 months,Grundfos,France,Nordic Machinery Hub,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/grundfos/gru-pmp-3475.pdf,https://www.industrial-supply-direct.com/item/gru-pmp-3475
PID-10302,Grundfos Multistage High-Pressure Pump GRU-PMP-8003,Grundfos,Pumps,Multistage High-Pressure Pump,GRU-PMP-8003,"Grundfos Multistage High-Pressure Pump GRU-PMP-8003 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",3544.73,EUR,415V,5 HP,60 Hz,2900 RPM,361.5 g,L:884 W:528 H:662,Duplex Steel,IP55,1 Year Standard,Grundfos,China,Global Electro Corp,Vendor Portal Upload,,https://www.industrial-supply-direct.com/item/gru-pmp-8003
PID-10303,Honeywell Analytics Emergency Stop Rope Pull HON-SFT-2429,Honeywell Analytics,Safety Equipment,Emergency Stop Rope Pull,HON-SFT-2429,"Compact and durable Emergency Stop Rope Pull with standard power rating, rated for 110-230 VAC networks.",153.54,GBP,110-230 VAC,,DC,N/A,64.9 lbs,962 x 348 x 315 mm,Reinforced Polymer,Ex d IIC T6,5 Years,Honeywell Analytics,United States,Precision Parts Direct,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/honeywell_analytics/hon-sft-2429.pdf,https://www.industrial-supply-direct.com/item/hon-sft-2429
PID-10304,Schneider Electric Programmable Logic Controller (PLC) SCH-CTL-2736,Schneider Electric,Control Systems,Programmable Logic Controller (PLC),SCH-CTL-2736,Heavy-duty industrial grade Programmable Logic Controller (PLC) engineered by Schneider Electric. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,1849.22,EUR,24vdc,150 W,50 Hz,N/A,212.7 KG,"28.1"" x 22.9"" x 20.5""",Polycarbonate / Aluminum,IP20,,Schneider Electric,Germany,TechFlow Solutions,Field Engineering Audit,https://docs.productiq-assets.com/specs/schneider_electric/sch-ctl-2736.pdf,https://www.industrial-supply-direct.com/item/sch-ctl-2736
PID-10305,Nidec Synchronous Motor NID-MTR-9245,Nidec,Industrial Motors,Synchronous Motor,NID-MTR-9245,Heavy-duty industrial grade Synchronous Motor engineered by Nidec. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,9564.68,USD,400 V,15000 W,50/60 Hz,1750 RPM,171.5 KG,920x733x157mm,Stainless Steel,,,Nidec,China,Continental Drive Systems,Field Engineering Audit,https://docs.productiq-assets.com/specs/nidec/nid-mtr-9245.pdf,https://www.industrial-supply-direct.com/item/nid-mtr-9245
PID-10306,Gardner Denver Oil-Free Scroll Compressor GAR-CMP-7233,Gardner Denver,Compressors,Oil-Free Scroll Compressor,GAR-CMP-7233,REDUNDANT RECORD: Gardner Denver GAR-CMP-7233 Compressors Oil-Free Scroll Compressor. Contact supplier Continental Drive Systems for spec sheet.,19296.86,USD,400 V,75 kW,60 Hz,2950 RPM,,733 x 292 x 664 mm,Heavy Gauge Steel Housing,IP55,2 Years,Gardner Denver,United States,Continental Drive Systems,ERP Master Data,,https://www.industrial-supply-direct.com/item/gar-cmp-7233
PID-10307,Schneider Electric Air Circuit Breaker (ACB) SCH-ELC-6154,Schneider Electric,Electrical Components,Air Circuit Breaker (ACB),SCH-ELC-6154,"*** SCHNEIDER ELECTRIC SPECIAL PROMO *** Model SCH-ELC-6154. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",287.77,€,1000 V,N/A,50/60 Hz,N/A,403.7 LBS,"16.0"" x 4.9"" x 27.6""",Silver Alloy Contacts,IP30,36 Months Extended,Schneider Electric,Japan,Global Electro Corp,Distributor Catalog EU,https://docs.productiq-assets.com/specs/schneider_electric/sch-elc-6154.pdf,invalid-url-item
PID-10308,Xylem Submersible Slurry Pump XYL-PMP-4533,Xylem,Pumps,Submersible Slurry Pump,XYL-PMP-4533,Heavy-duty industrial grade Submersible Slurry Pump engineered by Xylem. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,15730.67,,24 V DC,15 HP,50/60 Hz,2900 RPM,321.5 g,,Bronze,IP 68,2 Years,Xylem,United Kingdom,Apex Industrial Supplies,Vendor Portal Upload,https://docs.productiq-assets.com/specs/xylem/xyl-pmp-4533.pdf,https://www.industrial-supply-direct.com/item/xyl-pmp-4533
PID-10309,Pilz Gas Detection Monitor PIL-SFT-2541,Pilz,Safety Equipment,Gas Detection Monitor,PIL-SFT-2541,REDUNDANT RECORD: Pilz PIL-SFT-2541 Safety Equipment Gas Detection Monitor. Contact supplier Nordic Machinery Hub for spec sheet.,4143.8,$,110-230 VAC,0.02 kW,50/60 Hz,N/A,344.0 lbs,38.7x22.6x68.2 cm,Reinforced Polymer,IP67,,Pilz,France,Nordic Machinery Hub,ERP Master Data,https://docs.productiq-assets.com/specs/pilz/pil-sft-2541.pdf,https://www.industrial-supply-direct.com/item/pil-sft-2541
PID-10310,Boge Vane Compressor BOG-CMP-6138,Boge,Compressors,Vane Compressor,BOG-CMP-6138,"Boge Vane Compressor BOG-CMP-6138 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",16399.83,,400 V,50 HP,60 Hz,3000 rpm,384.2 kg.,"36.1"" x 6.9"" x 12.9""",Heavy Gauge Steel Housing,IP65,5 Years,Boge,Italy,Nordic Machinery Hub,Distributor Catalog EU,https://docs.productiq-assets.com/specs/boge/bog-cmp-6138.pdf,https://www.industrial-supply-direct.com/item/bog-cmp-6138
PID-10311,Schneider Electric Air Circuit Breaker (ACB) SCH-ELC-3953,Schneider Electric,Electrical Components,Air Circuit Breaker (ACB),SCH-ELC-3953,"Schneider Electric Air Circuit Breaker (ACB) SCH-ELC-3953 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",18456.9,USD,11 kV,N/A,50 Hz,N/A,246.4 lbs,,DMC Polyester Glass,IP20,36 Months Extended,Schneider Electric,Germany,TechFlow Solutions,Supplier Price File 2024,https://docs.productiq-assets.com/specs/schneider_electric/sch-elc-3953.pdf,https://www.industrial-supply-direct.com/item/sch-elc-3953
PID-10312,Endress+Hauser Vibration Sensor END-SNS-5421,Endress+Hauser,Sensors,Vibration Sensor,END-SNS-5421,"*** ENDRESS+HAUSER SPECIAL PROMO *** Model END-SNS-5421. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",2084.09,GBP,12-30 VDC,0.01 kW,DC,N/A,26.5 lbs,"27.9"" x 10.6"" x 11.9""",316L SS,ip67,1 Year Standard,Endress+Hauser,China,Precision Parts Direct,Supplier Price File 2024,https://docs.productiq-assets.com/specs/endress+hauser/end-sns-5421.pdf,https://www.industrial-supply-direct.com/item/end-sns-5421
PID-10313,Vertiv Liebert Industrial Diesel Generator VER-PWR-4253,Vertiv Liebert,Power Equipment,Industrial Diesel Generator,VER-PWR-4253,"*** VERTIV LIEBERT SPECIAL PROMO *** Model VER-PWR-4253. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",14828.89,€,400/230V 50Hz,250 kVA,60 Hz,N/A,,L:1022 W:228 H:749,Galvanized Steel Weatherproof,IP65 Enclosure,12 Months,Vertiv Liebert,Switzerland,Precision Parts Direct,Distributor Catalog EU,https://docs.productiq-assets.com/specs/vertiv_liebert/ver-pwr-4253.pdf,https://www.industrial-supply-direct.com/item/ver-pwr-4253
PID-10314,Flowserve High-Pressure Gate Valve FLO-VLV-4541,Flowserve,Valves,High-Pressure Gate Valve,FLO-VLV-4541,REDUNDANT RECORD: Flowserve FLO-VLV-4541 Valves High-Pressure Gate Valve. Contact supplier Global Electro Corp for spec sheet.,22861.09,€,24VDC,N/A,N/A,,186.1 kg.,972x635x883mm,CF8M Stainless,NEMA 4X,1 Year Standard,Flowserve,Italy,Global Electro Corp,Supplier Price File 2024,https://docs.productiq-assets.com/specs/flowserve/flo-vlv-4541.pdf,https://www.industrial-supply-direct.com/item/flo-vlv-4541
PID-10315,Schneider Electric Human Machine Interface (HMI) SCH-CTL-5640,Schneider Electric,Control Systems,Human Machine Interface (HMI),SCH-CTL-5640,Heavy-duty industrial grade Human Machine Interface (HMI) engineered by Schneider Electric. Designed for continuous continuous operation in harsh industrial environments with high thermal efficiency and rugged construction.,22514.92,USD,24vdc,150 W,50/60 Hz,N/A,286.0 LBS,166x783x396mm,Polycarbonate / Aluminum,IP20,2 Years,Schneider Electric,China,Nordic Machinery Hub,Supplier Price File 2024,https://docs.productiq-assets.com/specs/schneider_electric/sch-ctl-5640.pdf,https://www.industrial-supply-direct.com/item/sch-ctl-5640
PID-10316,Flowserve Diaphragm Pump FLO-PMP-7765,Flowserve,Pumps,Diaphragm Pump,FLO-PMP-7765,REDUNDANT RECORD: Flowserve FLO-PMP-7765 Pumps Diaphragm Pump. Contact supplier Precision Parts Direct for spec sheet.,16917.21,€,24 V DC,15 HP,50/60 Hz,1450 RPM,303.8 kg,,Bronze,IP68,,Flowserve,China,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/flowserve/flo-pmp-7765.pdf,https://www.industrial-supply-direct.com/item/flo-pmp-7765
